cutoffs,nll_mode,nll_mode_fixed,n,min_n,num_cutoffs,k_varying,k_fixed,aic_varying,aic_fixed,bic_varying,bic_fixed
"(1, 9, 17)",80804.08464704384,80976.36297128603,"[1967, 15031, 9421, 2109]",1967,3,12,8,80816.08464704384,80984.36297128603,80808.2435301272,80979.13556000826
"(1, 10, 13)",80804.09373915766,80979.58421435594,"[1967, 16582, 4014, 5965]",1967,3,12,8,80816.09373915766,80987.58421435594,80808.25262224102,80982.35680307818
"(9, 11, 13)",80804.18075696702,80973.2420958067,"[16998, 2997, 2568, 5965]",2568,3,12,8,80816.18075696702,80981.2420958067,80808.33964005038,80976.01468452893
"(9, 10, 19)",80804.21993288156,80972.19601338047,"[16998, 1551, 9339, 640]",640,3,12,8,80816.21993288156,80980.19601338047,80808.37881596493,80974.9686021027
"(1, 9)",80807.31689064472,80977.21616916789,"[1967, 15031, 11530]",1967,2,9,6,80816.31689064472,80983.21616916789,80810.43605295724,80979.29561070957
"(9, 12, 18)",80804.33718727584,80972.49714140812,"[16998, 4337, 5852, 1341]",1341,3,12,8,80816.33718727584,80980.49714140812,80808.49607035921,80975.26973013036
"(9, 12, 13)",80804.39026536059,80973.67781406644,"[16998, 4337, 1228, 5965]",1228,3,12,8,80816.39026536059,80981.67781406644,80808.54914844396,80976.45040278867
"(9, 14)",80807.42735599927,80975.75726291882,"[16998, 6669, 4861]",4861,2,9,6,80816.42735599927,80981.75726291882,80810.54651831179,80977.8367044605
"(9, 10, 12)",80804.52010648322,80971.97414113172,"[16998, 1551, 2786, 7193]",1551,3,12,8,80816.52010648322,80979.97414113172,80808.67898956659,80974.74672985396
"(1, 10, 15)",80804.5238193852,80978.66215882756,"[1967, 16582, 6124, 3855]",1967,3,12,8,80816.5238193852,80986.66215882756,80808.68270246856,80981.43474754979
"(9, 15, 18)",80804.58992737926,80973.88045065635,"[16998, 7675, 2514, 1341]",1341,3,12,8,80816.58992737926,80981.88045065635,80808.74881046262,80976.65303937858
"(9, 11, 15)",80804.61245611208,80972.42316762387,"[16998, 2997, 4678, 3855]",2997,3,12,8,80816.61245611208,80980.42316762387,80808.77133919545,80975.1957563461
"(9, 14, 18)",80804.66501423428,80974.83770292546,"[16998, 6669, 3520, 1341]",1341,3,12,8,80816.66501423428,80982.83770292546,80808.82389731765,80977.6102916477
